cycle,volume_transactions,nb_anomalies_passees,controle_interne_score,complexite_si,digitalisation,dso,rotation_stocks,marge_brute,historique_audit,risque
tresorerie,3729,2,0.7613318500947795,2,0.18358939964757437,41.631023548384654,6.132988972795583,0.4146612731088596,0,faible
stocks,4325,3,0.6171058134885652,1,0.7344347917837638,47.727944719533326,6.921567982627582,0.34541618495101983,0,faible
paie,3167,5,0.7862644544693012,4,0.21350045499126147,17.68977057810693,0.898881018766498,0.4400135711132507,0,eleve
stocks,6041,3,0.8795786436938403,1,0.3268040586099809,79.43562955515702,2.9615678169809323,0.2792651006561654,2,modere
stocks,1486,1,0.767046933418188,3,0.5195045610596641,68.391386866307,5.2051244071450355,0.29582842532169207,3,modere
ventes,2966,2,0.7998377414600194,4,0.357184280066192,39.853507493411556,8.111889736439561,0.13179867682296706,2,eleve
paie,4888,1,0.6742343724094895,3,0.6635056855606982,25.021959033641636,6.259521463747303,0.237595562313049,0,faible
paie,5590,1,0.8489559824320754,3,0.5407623600765474,65.63626297250286,5.659399209178032,0.3170498654767289,0,faible
paie,4224,0,0.6128964377605534,2,0.7570461960844911,93.51909069544381,4.5437759229102,0.33872008374664053,4,eleve
stocks,8440,4,0.7507814538610774,2,0.2784564933558652,57.24078154835353,5.853588261247014,0.48239374733052665,2,modere
tresorerie,3950,3,1.0,3,0.4676204567626403,46.83107922956566,3.807118796935616,0.11490528437577466,2,faible
paie,5515,1,0.7808321584038489,3,0.6008398754658458,41.25851439704064,3.440341440936014,0.3229454750803878,1,modere
stocks,7779,3,0.6368933154112197,1,0.6085456261011911,84.98697415532645,3.614126002816037,0.2623762723902694,3,modere
ventes,6919,2,0.63650616374629,4,0.7388072810953443,44.41504351179451,7.68096302234589,0.3075503593238282,1,eleve
tresorerie,9428,3,0.6892987454064483,1,0.41708228392129115,52.57641799964636,3.319495858409442,0.3102716251310227,1,faible
ventes,8478,6,0.8276868672594115,2,0.5063979429994001,80.83469815837559,4.20244582433776,0.2808815437749766,3,eleve
tresorerie,9542,2,0.7218666263751072,2,0.7014699321760739,72.74963209672634,5.942022463651117,0.18668920818665402,4,eleve
stocks,1433,4,0.6027208280142404,1,0.1602878521285978,53.341813400266425,3.2396302949615574,0.1681222809493835,4,modere
achats,4250,2,0.6024554510816964,4,0.6769870503784585,46.0204611750131,5.452327824648388,0.2735088215203506,3,modere
tresorerie,6866,4,0.722807399653447,3,0.7527897231389844,89.31156579490762,5.451608386813633,0.15793825029850425,3,eleve
ventes,2811,4,0.7063592480108186,1,0.333267855464352,37.672606497880366,3.7510917824802226,0.2887095720865116,2,modere
stocks,4953,3,0.7682464253678531,2,0.5369954103429974,55.79429629745232,4.482439559325557,0.2746630557861076,2,modere
tresorerie,6312,1,0.8376234843677342,4,0.8985319633014295,29.882470253153976,3.112847420143341,0.05499646982901332,2,eleve
achats,7579,5,1.0,2,0.7319656595462296,83.77734355874071,7.765532007085289,0.49336130761725316,2,modere
achats,5508,4,0.48069497248485993,4,0.6893944545941733,50.50228248233988,5.515187721247709,0.3077257666145919,0,modere
paie,7815,4,0.8030293190929662,4,0.7981918630248973,46.007484025686885,2.902713842388805,0.056260985982546086,0,modere
paie,9042,2,0.7147461562582434,4,0.9609090235225005,73.23324930769455,5.252636166067338,0.32471329322088544,4,eleve
ventes,1862,5,0.4233135653334117,1,0.6037068139636743,31.489692573957193,5.343188324129823,0.27966106806484703,0,faible
tresorerie,7201,1,0.8874296085477591,1,0.5185621991555951,72.70762762437681,0.5135203125215408,0.1682234310279329,0,modere
tresorerie,7774,3,0.763175983987292,1,0.7977076821947864,52.789144158649876,7.680888088685889,0.33093029407742586,2,faible
paie,6222,2,0.8199709439230234,4,0.5625093728100979,35.89401570439611,3.020783775437082,0.20578461448103982,2,faible
tresorerie,581,2,0.44508715823534756,4,0.4143962683962113,40.19474059476363,9.180429374274336,0.31930326288324473,3,modere
tresorerie,253,1,0.6669374608752687,2,0.49198674940255144,46.31599800876525,6.590581521941331,0.22984903266108295,2,faible
achats,7717,3,0.5381204582658555,3,0.6624659164116762,51.119126490725236,2.746340520065508,0.2094420882520014,3,eleve
paie,1624,3,1.0,1,0.5100808395178238,36.029478523175726,4.371498758400248,0.2984466151964581,3,faible
stocks,2220,3,0.8716825518616571,4,0.5250049505144172,65.89031979136092,6.845236321107096,0.13779070218295317,0,eleve
paie,2443,3,0.5978548325071806,2,0.3945368370709592,35.50556032088663,4.524494523889109,0.29174627743898834,2,modere
stocks,5236,0,0.46950416485755964,2,0.8870733032405624,12.697550937234226,7.356474668837189,0.365725377801299,0,faible
achats,5860,6,0.7291082599575632,2,0.5314746560625058,98.39239257595045,4.247862384443763,0.4270610790735541,2,eleve
ventes,1340,2,0.8638633003441539,1,0.457697805876952,63.958550981979336,4.842669534274919,0.40885682139941426,0,faible
tresorerie,160,3,0.43974195918461056,1,0.4789754386788773,100.1898318329115,6.90030006042167,0.4353330515855326,0,faible
achats,9230,4,0.5602337993510245,3,0.7605051949924289,39.126812999459,6.2067819863599745,0.2545285973770384,0,modere
tresorerie,1739,2,0.5341622936479061,2,0.7146397157006324,69.59589428575997,3.149545125041893,0.19753642484951894,4,modere
ventes,6285,4,0.830041924886588,1,0.49962905917142547,77.8921739772652,5.868103272822195,0.3815356361603539,0,faible
ventes,8070,2,0.6445256367183231,2,0.606462607595084,56.21307483653488,5.334896221328617,0.24831066590117634,1,faible
achats,1352,5,0.6508095216433741,4,0.6553408847704969,31.111000488426384,3.1765331447266787,0.3006262280260222,1,modere
ventes,4303,4,0.7261982020958451,2,0.45918386149887885,54.710377315554105,2.219046013118821,0.3746867010835381,1,faible
stocks,8463,2,0.5682578781506479,3,0.29187544252200137,72.5279386619248,1.1372326701146243,0.5021097770387185,3,eleve
ventes,9750,4,0.4834469894908653,1,0.7030074838862489,71.76440899801398,4.411151830338907,0.3528800510118048,0,modere
